#{"t_start": 1788109567.4635227, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level
-20.441222,272,64.505806,1,0.0,2,1,0,112.0,55.0,2
-19.146294,255,64.970806,1,0.0,3,1,0,112.0,65.0,2
-36.416544,109,65.181805,1,0.0,0,0,0,112.0,0.0,1
-14.063508,425,66.051805,1,0.0,8,1,0,112.0,115.0,3
36.51808,297,66.604805,2,0.0,9,2,1,101.92,185.0,3
-16.302308,175,66.918805,1,0.0,4,1,0,112.0,75.0,2
-35.294295,108,67.113806,1,0.0,1,0,0,112.0,10.0,1
-16.601719,231,67.554806,1,0.0,5,1,0,112.0,85.0,2
-38.115078,121,67.772807,1,0.0,1,0,0,126.0,10.0,1
-20.314914,290,68.365806,1,0.0,4,1,0,112.0,75.0,2
-16.451765,248,68.816806,1,0.0,5,1,0,112.0,85.0,2
-22.875681,112,69.002806,1,0.0,1,1,0,112.0,45.0,2
-18.734856,162,69.291807,1,0.0,4,1,0,112.0,75.0,2
64.265867,320,69.912807,2,0.0,12,4,1,130.48000000000002,285.0,4
-28.237911,227,70.333806,1,0.0,7,0,0,112.0,70.0,2
45.924527,273,70.865805,2,0.0,6,3,1,101.5168,190.0,3
-21.879134,138,71.125805,1,0.0,1,1,0,103.6,45.0,2
-21.130905,235,71.560805,1,0.0,1,1,0,110.88,45.0,2
44.801586,213,71.937805,2,0.0,6,3,1,101.92,190.0,3
42.627004,216,72.338805,2,0.0,4,3,1,101.36000000000001,170.0,3
-21.97301,135,72.577806,1,0.0,1,1,0,112.0,45.0,2
-15.593351,289,73.097805,1,0.0,5,1,0,112.0,85.0,2
49.814218,311,73.652805,2,0.0,9,3,1,102.5024,220.0,4
-20.633666,182,74.006805,1,0.0,2,1,0,112.0,55.0,2
221.353239,445,74.847807,4,0.0,22,9,3,141.12000000000003,610.0,6
40.787955,257,75.369805,2,0.0,4,3,1,130.48000000000002,170.0,3
119.280155,535,76.30381,3,0.0,19,5,2,193.42400000000004,415.0,5
66.03961,390,77.00981,2,0.0,9,4,1,100.80000000000001,255.0,4
72.396673,311,77.617806,2,0.0,15,4,1,101.36000000000001,315.0,5
-21.540166,95,77.779805,1,0.0,1,1,0,112.0,45.0,2
111.770736,609,78.873806,3,0.0,17,5,2,245.05600000000004,395.0,5
168.510829,567,79.940805,4,0.0,19,6,3,196.67200000000008,475.0,6
-18.956755,238,80.385805,1,0.0,4,1,0,140.0,75.0,2
117.326885,403,81.129805,3,0.0,13,5,2,101.13600000000002,355.0,5
36.492402,325,81.721805,2,0.0,7,3,1,229.04000000000002,200.0,4
-18.378361,121,81.959806,1,0.0,2,1,0,112.0,55.0,2
115.156511,507,82.896805,3,0.0,21,5,2,189.056,435.0,5
64.772974,335,83.514805,2,0.0,9,4,1,101.92,255.0,4
359.456479,878,85.151808,5,0.0,45,14,4,169.12000000000003,1040.0,8
187.074897,468,85.976851,4,0.0,15,7,3,108.64000000000001,470.0,6
39.848845,326,86.642805,2,0.0,12,2,1,115.3152,215.0,4
216.211462,629,87.871805,4,0.0,31,8,3,155.90400000000002,665.0,7
-23.872777,138,88.142805,1,0.0,0,1,0,112.0,35.0,1
117.801808,468,88.978805,3,0.0,11,5,2,110.31552,335.0,5
111.417575,404,89.709807,3,0.0,8,5,2,105.6384,305.0,4
-24.181593,333,96.232805,1,0.0,2,1,0,140.0,55.0,2
42.587612,371,96.945805,2,0.0,11,3,1,229.60000000000002,240.0,4
181.426256,531,97.913805,4,0.0,16,7,3,196.89600000000004,480.0,6
108.393233,246,98.336805,3,0.0,4,5,2,108.86400000000002,265.0,4
350.69793,961,100.258805,5,0.0,41,13,4,113.11999999999998,965.0,8
-21.892626,120,100.479805,1,0.0,2,1,0,112.0,55.0,2
-20.519582,110,100.697805,1,0.0,0,1,0,112.0,35.0,1
333.047387,526,101.674806,5,0.0,34,13,4,113.67999999999998,895.0,8
216.235799,568,102.851806,4,0.0,25,8,3,109.76000000000002,605.0,6
69.274162,338,103.484809,2,0.0,13,4,1,101.92,295.0,4
-35.076871,113,103.718806,1,0.0,1,0,0,112.0,10.0,1
-21.765658,135,103.979805,1,0.0,2,1,0,112.0,55.0,2
181.954665,592,105.136806,4,0.0,14,7,3,147.39200000000002,460.0,6
56.092241,286,105.668806,2,0.0,3,4,1,143.92000000000002,195.0,4
111.402581,352,106.292858,3,0.0,9,5,2,105.28000000000002,315.0,5
-18.318537,229,106.706805,1,0.0,2,1,0,112.0,55.0,2
-21.434903,196,107.086805,1,0.0,1,1,0,112.0,45.0,2
238.723803,513,108.090806,4,0.0,21,10,3,108.08000000000001,635.0,7
49.801507,363,108.825807,2,0.0,11,3,1,116.48,240.0,4
66.735206,473,109.751805,2,0.0,14,4,1,171.36,305.0,4
115.368144,414,110.499805,3,0.0,16,5,2,181.66400000000002,385.0,5
-20.907679,135,110.759805,1,0.0,1,1,0,112.0,45.0,2
141.97555,761,112.380805,3,0.0,41,5,2,221.76000000000002,635.0,7
-17.442763,256,112.862805,1,0.0,3,1,0,112.0,65.0,2
209.690757,467,113.739805,4,0.0,19,8,3,109.76000000000002,545.0,6
-36.175067,115,113.959805,1,0.0,1,0,0,112.0,10.0,1
336.231818,805,115.543805,5,0.0,35,13,4,151.76,905.0,8
102.090901,318,116.126805,3,0.0,5,5,2,151.42400000000004,275.0,4
342.119559,794,117.70081,5,0.0,41,13,4,113.11999999999998,965.0,8
-21.649575,136,117.965806,1,0.0,3,1,0,140.0,65.0,2
-37.172867,138,118.225806,1,0.0,1,0,0,112.0,10.0,1
-20.210859,204,118.600806,1,0.0,2,1,0,112.0,55.0,2
202.709038,437,119.486805,4,0.0,15,8,3,109.76000000000002,505.0,6
-17.246053,294,120.099805,1,0.0,2,1,0,112.0,55.0,2
-17.468009,245,120.576804,1,0.0,4,1,0,112.0,75.0,2
203.242413,570,121.700805,4,0.0,30,7,3,152.32000000000002,620.0,6
118.006594,305,122.235805,3,0.0,8,5,2,108.86400000000002,305.0,4
44.332002,369,122.968806,2,0.0,9,3,1,185.92000000000002,220.0,4
-31.267594,142,123.247805,1,0.0,4,0,0,112.0,40.0,2
356.334527,773,124.828805,5,0.0,38,14,4,147.728,970.0,8
41.706381,290,125.397808,2,0.0,6,3,1,143.92000000000002,190.0,3
21.399824,199,125.731805,2,0.0,2,2,1,143.92000000000002,115.0,3
120.769161,455,126.569804,3,0.0,13,5,2,108.86400000000002,355.0,5
369.721803,893,128.380809,5,0.0,54,14,4,189.28000000000003,1130.0,9
58.294082,323,128.966805,2,0.0,5,4,1,142.8224,215.0,4
-36.019675,131,129.263807,1,0.0,2,0,0,112.0,20.0,1
123.38619,398,130.02481,3,0.0,18,5,2,101.13600000000002,405.0,5
207.151669,518,131.04581,4,0.0,22,8,3,159.26400000000004,575.0,6
114.846586,448,131.894806,3,0.0,15,5,2,232.51200000000003,375.0,5
214.417075,586,133.021806,4,0.0,28,8,3,153.44000000000003,635.0,7
201.830833,489,133.905804,4,0.0,15,8,3,125.44000000000003,505.0,6
223.852463,474,134.812804,4,0.0,22,9,3,125.44000000000003,610.0,6
181.049872,392,135.566805,4,0.0,12,7,3,125.44000000000001,440.0,5
356.067719,520,136.535805,5,0.0,25,15,4,112.55999999999999,875.0,8
123.054672,380,137.227804,3,0.0,11,5,2,104.72000000000003,335.0,5
231.737184,377,137.991806,4,0.0,13,10,3,109.76000000000002,555.0,6
130.411716,665,139.325804,3,0.0,24,5,2,141.00800000000004,465.0,6
214.994006,467,140.240805,4,0.0,14,9,3,151.20000000000002,530.0,6
120.280992,345,140.879804,3,0.0,12,5,2,148.96,345.0,5
65.434567,239,141.315805,2,0.0,11,4,1,101.92,275.0,4
194.62248,643,142.559809,4,0.0,20,7,3,151.68832000000003,520.0,6
38.132919,231,142.982805,2,0.0,3,3,1,143.92000000000002,160.0,3
-23.831201,158,143.297806,1,0.0,0,1,0,112.0,35.0,1
46.537698,317,143.901804,2,0.0,9,3,1,171.92000000000002,220.0,4
62.399301,287,147.591804,2,0.0,7,4,1,101.92,235.0,4
532.958876,915,149.410804,7,0.0,56,19,6,105.6608,1375.0,9
65.498797,378,150.135805,2,0.0,10,4,1,101.92,265.0,4
169.22025,348,150.790804,4,0.0,12,6,3,108.08000000000001,405.0,5
319.517979,685,152.235807,5,0.0,29,13,4,199.92000000000007,845.0,8
-13.812953,259,152.707807,1,0.0,5,1,0,112.0,85.0,2
221.451075,829,154.232804,4,0.0,28,8,3,141.12000000000003,635.0,7
204.765999,627,155.501804,4,0.0,20,8,3,148.95999999999998,555.0,6
220.618395,422,156.643806,4,0.0,22,9,3,151.76000000000002,610.0,6
-23.575824,86,156.832809,1,0.0,0,1,0,112.0,35.0,1
37.091542,255,157.311806,2,0.0,3,3,1,157.36,160.0,3
61.555971,529,158.413804,2,0.0,21,3,1,101.92,340.0,5
226.695054,621,159.734804,4,0.0,27,9,3,148.96000000000004,660.0,7
208.96893,415,160.551805,4,0.0,21,8,3,112.22400000000003,565.0,6
192.346055,400,161.286804,4,0.0,18,7,3,108.08000000000001,500.0,6
111.143831,402,162.012804,3,0.0,12,5,2,185.69600000000003,345.0,5
52.590459,304,162.583804,2,0.0,10,3,1,101.92,230.0,4
35.248917,292,163.183804,2,0.0,1,3,1,143.92000000000002,140.0,3
-23.704526,121,163.406805,1,0.0,0,1,0,112.0,35.0,1
183.244273,566,164.506804,4,0.0,8,8,3,232.51200000000006,435.0,5
197.783826,723,165.853804,4,0.0,23,8,3,268.80000000000007,585.0,6
-21.92877,112,166.048809,1,0.0,0,1,0,112.0,35.0,1
54.30764,236,166.512804,2,0.0,5,4,1,157.92000000000002,215.0,4
218.912637,510,167.521805,4,0.0,20,9,3,182.56000000000003,590.0,6
332.889321,705,168.919804,5,0.0,29,14,4,202.16000000000005,880.0,8
61.795019,392,169.643805,2,0.0,7,4,1,101.36000000000001,235.0,4
120.68133,454,170.491805,3,0.0,15,5,2,106.64640000000003,375.0,5
-21.589284,295,171.092806,1,0.0,1,1,0,112.0,45.0,2
76.988244,710,172.581804,2,0.0,29,3,1,101.92,420.0,5
294.960637,676,173.865804,5,0.0,27,12,4,272.8320000000001,790.0,7
236.448158,464,174.754804,4,0.0,22,10,3,152.88000000000002,645.0,7
658.276897,1134,177.330018,8,0.0,74,24,7,232.9600000000001,1755.0,9
247.554905,608,178.703018,4,0.0,28,10,3,138.32000000000002,705.0,7
-16.354251,251,179.312017,1,0.0,5,1,0,112.0,85.0,2
121.194405,653,180.860018,3,0.0,17,5,2,147.84000000000003,395.0,5
67.86899,378,181.702018,2,0.0,11,4,1,100.80000000000001,275.0,4
255.06543,670,183.107018,4,0.0,31,10,3,109.76000000000002,735.0,7
317.596928,774,184.779018,5,0.0,28,13,4,241.92000000000007,835.0,8
-19.574491,312,185.434019,1,0.0,3,1,0,126.0,65.0,2
212.720212,469,186.485017,4,0.0,14,9,3,144.6144,530.0,6
39.496259,316,187.101018,2,0.0,7,3,1,186.48000000000002,200.0,4
-17.137791,324,187.836443,1,0.0,5,1,0,112.0,85.0,2
47.471781,249,188.422511,2,0.0,7,3,1,101.92,200.0,4
54.599654,396,189.417511,2,0.0,8,4,1,187.04000000000002,245.0,4
110.749898,391,190.171561,3,0.0,10,5,2,170.12800000000004,325.0,5
-21.58023,254,190.758511,1,0.0,1,1,0,112.0,45.0,2
54.920995,317,191.483511,2,0.0,14,3,1,101.36000000000001,270.0,4
55.675806,243,191.925514,2,0.0,5,4,1,143.92000000000002,215.0,4
110.436451,359,192.664513,3,0.0,6,5,2,151.98400000000004,285.0,4
45.479737,289,193.264511,2,0.0,7,3,1,130.48000000000002,200.0,4
